"Id","LotFrontage","LotArea","Street","LandSlope","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofMatl","MasVnrArea","ExterQual","ExterCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","X1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscVal","MoSold","YrSold","NeighborhoodRich","NeighborhoodCountryClub","NeighborhoodLarge","NeighborhoodQualityScale","lat","lon","NeighborhoodAvgSale","NeighborhoodNumSales","NeighborhoodNumSalesTot","ExterQualTAGD","BsmtQualTAGD","KitchenQualTAGD","FireplaceNone","GarageQualTA","GarageCondTA","ExterCondTA","BsmtCondTA","BsmtExposureNo","PoolNone","BsmtFinType1UG","BsmtFinType1_2","BsmtFinType2U","BsmtFinType2_2","MSSubClass_Common","MSZoningRLRM","LotShapeIrregular","Condition1Abnormal","Condition2Abnormal","ConditionAbnormal","HouseStyleUnfinished","HouseStyleSplit","HouseStyle1Store","HouseStyle2Store","ExteriorDiff","BsmtPresent","ShedPresent","MiscValPresent","2ndFlrSFPresent","MasVnrAreaPresent","WoodDeckSFPresent","OpenPorchSFPresent","EnclosedPorchPresent","ScreenPorchPresent","LotFrontage_D","LotAreaGiant","BsmtFinSF1_D","BsmtFinSF2_D","NeighborhoodAvgSale_D","NeighborhoodNumSales_D","X1stFlrSF_D","X2ndFlrSF_D","TotalArea","InsideArea","TotalArea_D1","TotalArea_D2","TotalArea_D3","InsideArea_D1","InsideArea_D2","InsideArea_D3","SeasonSold","HighSeason","BuiltDecade","BuiltCentury","BuiltMillenium","RebuiltDecade","RebuiltCentury","RebuiltMillenium","MonthYearSold","Remodelled","YearsSinceRemodel","YearsSoldAfterRemodel","SameYearBuiltSold","SameYearRebuiltSold","Age","SaleAge","YearBuilt_DO","GarageYrBlt_DO","YearRemodAdd_DO","MSSubClass120","MSSubClass160","MSSubClass180","MSSubClass190","MSSubClass20","MSSubClass30","MSSubClass40","MSSubClass45","MSSubClass50","MSSubClass60","MSSubClass70","MSSubClass75","MSSubClass80","MSSubClass85","MSSubClass90","MSZoningC..all.","MSZoningFV","MSZoningRH","MSZoningRL","MSZoningRM","AlleyGrvl","AlleyNone","AlleyPave","LotShapeIR1","LotShapeIR2","LotShapeIR3","LotShapeReg","LandContourBnk","LandContourHLS","LandContourLow","LandContourLvl","LotConfigCorner","LotConfigCulDSac","LotConfigFR","LotConfigInside","NeighborhoodBlmngtn","NeighborhoodBlueste","NeighborhoodBrDale","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMeadowV","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNPkVill","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","NeighborhoodVeenker","Condition1Artery","Condition1Feedr","Condition1Norm","Condition1PosA","Condition1PosN","Condition1RRAe","Condition1RRAn","Condition1RRNe","Condition1RRNn","Condition2Artery","Condition2Feedr","Condition2Norm","Condition2PosA","Condition2PosN","Condition2RRAe","Condition2RRAn","Condition2RRNn","BldgType1Fam","BldgTypeOther","BldgTypeTwnhsE","HouseStyle1.5Fin","HouseStyle1.5Unf","HouseStyle1Story","HouseStyle2.5Fin","HouseStyle2.5Unf","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","RoofStyleGable","RoofStyleHip","RoofStyleOther","Exterior1stBrkFace","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stMetalSd","Exterior1stOther","Exterior1stPlywood","Exterior1stVinylSd","Exterior1stWd.Sdng","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndMetalSd","Exterior2ndOther","Exterior2ndPlywood","Exterior2ndVinylSd","Exterior2ndWd.Sdng","MasVnrTypeBrkCmn","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","FoundationBrkTil","FoundationCBlock","FoundationOther","FoundationPConc","ElectricalFuseA","ElectricalOther","ElectricalSBrkr","GarageTypeAttchd","GarageTypeBuiltIn","GarageTypeDetchd","GarageTypeNone","GarageTypeOther","PavedDriveN","PavedDriveP","PavedDriveY","SaleTypeCOD","SaleTypeNew","SaleTypeOther","SaleTypeWD","SaleConditionAbnorml","SaleConditionNormal","SaleConditionOther","SaleConditionPartial","c41","c42","c43","c44","c81","c82","c83","c84","c85","c86","c87","c88","YearBuilt_DD1","YearBuilt_DD2","YearBuilt_DD3","YearBuilt_DD4","YearBuilt_DD5","GarageYrBlt_DD1","GarageYrBlt_DD2","GarageYrBlt_DD3","GarageYrBlt_DD4","GarageYrBlt_DD5","YearRemodAdd_DD1","YearRemodAdd_DD2","YearRemodAdd_DD3","YearRemodAdd_DD4","YearRemodAdd_DD5","SalePrice"
1,65,9.04204005654448,0,1,7,1.79175946922805,2003,2003,0,5.28320372873799,1.6094379124341,4,4,4,0.693147180559945,6,6.56103066589657,0.693147180559945,0,0.693147180559945,3,0,5,1,6.75343791859778,6.75110146893676,1,4,0.693147180559945,0,2,0.693147180559945,3,0.693147180559945,1.6094379124341,2.19722457733622,8,0,0,2003,2,2,548,4,5,0,4.12713438504509,0,0,0,0,0,4,0,2,7.60539236481493,0,0,0.693147180559945,2,42.021051,-93.685643,12.1919787921317,5.01727983681492,5.59098698051086,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1,1,1,1,1,1,1,6,0.693147180559945,4,0.693147180559945,1,0,0,0,0,0,0,0,1,1,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,1,2,0,1.09861228866811,0,4,4,2,1.79175946922805,9.37126803608247,7.44483327389219,10,5,3,15,8,4,0.5,0,200.3,20.03,1,200.3,20.03,0.693147180559945,10.0899256248419,0,0,5,0,0,2.07944154167984,2,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12.2476991163726
2,80,9.16962253869762,0,1,6,2.19722457733622,1976,1976,0,0,1.38629436111989,4,4,4,1.6094379124341,5,6.88653164253051,0.693147180559945,0,0.693147180559945,4,0,5,1,7.14124512235049,0,1,2,0,0.693147180559945,2,0,3,0.693147180559945,1.38629436111989,1.94591014905531,8,0.693147180559945,1.38629436111989,1976,2,2,460,4,5,5.70044357339069,0,0,0,0,0,0,4,0,5,7.60489448081162,0,0,0,3,42.040106,-93.657032,12.2922549289167,2.484906649788,3.2188758248682,0.693147180559945,0.693147180559945,0.693147180559945,0,1,1,1,1,0,1,0,4,0.693147180559945,4,0.693147180559945,1,0,0.693147180559945,0,0,0,0,0.693147180559945,0,1,0.693147180559945,0,0,1,1,0,0.693147180559945,0.693147180559945,1,2,0,1.38629436111989,0,5,1,4,0.693147180559945,9.4483331261406,7.14124512235049,12,6,3,8,4,2,1.25,0.693147180559945,197.6,19.76,0,197.6,19.76,0,10.0895520956089,0,0,31,0,0,3.55534806148941,3,6,5,4,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,1,0,0,0,12.1090164423137
3,68,9.32821229257107,0,1,7,1.79175946922805,2001,2002,0,5.09375020080676,1.6094379124341,4,4,4,1.09861228866811,6,6.18826412308259,0.693147180559945,0,1.09861228866811,3,0,5,1,6.82546003625531,6.76503897678054,1,4,0.693147180559945,0,2,0.693147180559945,3,0.693147180559945,1.6094379124341,1.94591014905531,8,0.693147180559945,1.38629436111989,2001,2,2,608,4,5,0,3.76120011569356,0,0,0,0,0,4,0,9,7.60539236481493,0,0,0.693147180559945,2,42.021051,-93.685643,12.1919787921317,5.01727983681492,5.59098698051086,0.693147180559945,0.693147180559945,0.693147180559945,0,1,1,1,1,0,1,1,6,0.693147180559945,4,0.693147180559945,1,0,0,0,0,0,0,0,1,1,0.693147180559945,0,0,0,0,0.693147180559945,0,0.693147180559945,1,2,0,1.09861228866811,0,4,4,2,1.79175946922805,9.5758858560831,7.48829351515943,15,8,4,16,8,4,2.25,0,200.1,20.01,1,200.2,20.02,0.693147180559945,10.0902160511483,1,0.693147180559945,6,0,0,2.30258509299405,2,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12.3171711672987
4,60,9.16440114003474,0,1,7,1.79175946922805,1915,1970,0,0,1.38629436111989,4,3,3,0.693147180559945,5,5.37989735354046,0.693147180559945,0,1.09861228866811,2,0,4,1,6.86901445066571,6.62936325343745,1,4,0.693147180559945,0,1,0,3,0.693147180559945,1.6094379124341,2.07944154167984,8,0.693147180559945,1.6094379124341,1998,1,3,642,4,5,0,3.58351893845611,5.60947179518496,0,0,0,0,4,0,2,7.60439634879634,0,0,0,3,42.025949,-93.620215,12.2091927728664,3.95124371858143,4.64439089914137,0.693147180559945,0.693147180559945,0.693147180559945,0,1,1,1,0,1,1,0,4,0.693147180559945,4,0,1,0,0,0,0,0,0,0,1,0,0.693147180559945,0,0,0,1,0.693147180559945,0,0,1,2,0,0.693147180559945,0,4,2,2,1.6094379124341,9.43364391049176,7.4489161025442,11,6,3,15,8,4,0.5,0,191.5,19.15,0,197,19.7,0,10.0889292366663,1,4.02535169073515,36,0,0,4.56434819146784,4,1,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.8494048444231
5,84,9.56528381773677,0,1,8,1.79175946922805,2000,2000,0,5.86078622346587,1.6094379124341,4,4,4,1.38629436111989,6,6.48616078894409,0.693147180559945,0,1.09861228866811,3,0,5,1,7.04403289727469,6.96034772910131,1,5,0.693147180559945,0,2,0.693147180559945,4,0.693147180559945,1.6094379124341,2.30258509299405,8,0.693147180559945,1.38629436111989,2000,2,3,836,4,5,5.26269018890489,4.44265125649032,0,0,0,0,0,4,0,12,7.60539236481493,1,0.693147180559945,0,4,42.050307,-93.656045,12.6165286118935,3.73766961828337,4.27666611901606,0.693147180559945,0.693147180559945,0.693147180559945,0,1,1,1,1,0,1,1,6,0.693147180559945,4,0.693147180559945,1,0,0,0,0,0,0,0,1,1,0.693147180559945,0,0,0,0,0,0,0.693147180559945,1,2,0,1.09861228866811,0,5,1,3,1.79175946922805,9.83472679696534,7.69575799055476,19,10,5,19,10,5,3,0,200,20,1,200,20,0.693147180559945,10.0903404937493,0,0,8,0,0,2.39789527279837,2,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,12.4292201968364
6,85,9.55506418479516,0,1,5,1.79175946922805,1993,1995,0,0,1.38629436111989,4,4,4,0.693147180559945,6,6.59714570188665,0.693147180559945,0,0.693147180559945,2,0,5,1,6.68085467879022,6.34035930372775,1,3,0.693147180559945,0,1,0.693147180559945,1,0.693147180559945,1.38629436111989,1.79175946922805,8,0,0,1993,1,2,480,4,5,3.71357206670431,3.43398720448515,0,5.77144112313002,0,0,0,2,6.55250788703459,10,7.60589000105312,0,0,0,2,42.031307,-93.626967,11.9414623606461,3.91202300542815,4.74493212836325,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1,1,1,1,1,1,1,6,0.693147180559945,4,0.693147180559945,1,0,0,0,0,0,0,0.693147180559945,0,1,0.693147180559945,1,1,0,1,0,0,0.693147180559945,1,2,0,1.09861228866811,0,3,1,1,1.6094379124341,9.75103542934445,7.21744343169653,18,9,5,9,5,3,2.5,0,199.3,19.93,0,199.5,19.95,0,10.0907551906118,1,1.09861228866811,14,0,0,2.89037175789616,1,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.693147180559945,0,0,11.8706069022246
7,75,9.21880445038831,0,1,8,1.79175946922805,2004,2005,0,5.23110861685459,1.6094379124341,4,5,4,1.38629436111989,6,7.22256601882217,0.693147180559945,0,0.693147180559945,5,0,5,1,7.43543801981455,0,1,4,0.693147180559945,0,2,0,3,0.693147180559945,1.6094379124341,2.07944154167984,8,0.693147180559945,1.6094379124341,2004,2,2,636,4,5,5.54517744447956,4.06044301054642,0,0,0,0,0,4,0,8,7.60489448081162,0,0.693147180559945,0,3,42.052191,-93.643479,12.3260798725048,4.46590811865458,5.20948615284142,0.693147180559945,0,0.693147180559945,0,1,1,1,1,0,1,1,6,0.693147180559945,4,0.693147180559945,1,0,0,0,0,0,0,0.693147180559945,0,1,0.693147180559945,0,0,1,0,0,0,0.693147180559945,1,2,0,1.6094379124341,0,5,3,5,0.693147180559945,9.57275879054198,7.43543801981455,15,8,4,15,8,4,2,0,200.4,20.04,1,200.5,20.05,0.693147180559945,10.0896766208566,1,0.693147180559945,2,0,0,1.94591014905531,3,9,9,8,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,1,0,0,0,0.693147180559945,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,1,0,0,0,0,0.693147180559945,0,0,0,1,0,12.634606283893
8,81,9.24792513230345,0,1,7,1.94591014905531,1973,1973,0,5.48479693349065,1.38629436111989,4,4,4,1.09861228866811,5,6.75693238924755,1.38629436111989,3.49650756146648,0.693147180559945,3,0,5,1,7.01031186730723,6.89162589705225,1,5,0.693147180559945,0,2,0.693147180559945,3,0.693147180559945,1.38629436111989,2.07944154167984,8,1.09861228866811,1.38629436111989,1973,2,2,484,4,5,5.46383180502561,5.32300997913841,5.43372200355424,0,0,0,0,4,5.86078622346587,11,7.60589000105312,0,0,0,2,42.051321,-93.633798,12.1167003018326,4.30406509320417,4.88280192258637,0.693147180559945,0.693147180559945,0.693147180559945,0,1,1,1,1,0,1,0,4,0,1,0.693147180559945,1,0,0.693147180559945,0,0,0,0,0,1,1,0.693147180559945,1,1,0,0,0,0,0,1,2,0,1.38629436111989,0.693147180559945,4,2,3,1.79175946922805,9.60548574767749,7.64539769942863,16,8,4,18,9,5,2.75,0,197.3,19.73,0,197.3,19.73,0,10.0907966508411,0,0,36,0,0,3.63758615972639,1,5,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0.693147180559945,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,1,0,0,0,12.2060776455177
9,51,8.71948076085107,0,1,7,1.79175946922805,1931,1950,0,0,1.38629436111989,4,3,4,0.693147180559945,1,0,0.693147180559945,0,1.38629436111989,3,0,4,1,6.93049476595163,6.62406522779989,1,4,0,0,2,0,2,1.09861228866811,1.38629436111989,2.19722457733622,5,1.09861228866811,1.38629436111989,1931,1,2,468,2,5,4.51085950651685,0,5.32787616878958,0,0,0,0,4,0,4,7.60539236481493,0,0,0.693147180559945,1,42.028863,-93.615497,11.6868871754197,4.7361984483945,5.48063892334199,0.693147180559945,0.693147180559945,0.693147180559945,0,0,1,1,1,1,1,1,5,0.693147180559945,4,0.693147180559945,1,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,1,0,0.693147180559945,0,1,1,0,0,0,1,4,3,1.6094379124341,9.07337451690302,7.48155570190952,4,2,1,16,8,4,1,0,193.1,19.31,0,195,19.5,0,10.0900086123938,1,2.99573227355399,58,0,0,4.38202663467388,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.693147180559945,0.693147180559945,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,1,0,0,0,0,11.7745279008585
10,50,8.91206909797013,0,1,5,1.94591014905531,1939,1950,0,0,1.38629436111989,4,3,4,0.693147180559945,6,6.74758652682932,0.693147180559945,0,0.693147180559945,3,0,5,1,6.98286275146894,0,1,2,0.693147180559945,0,1,0,2,1.09861228866811,1.38629436111989,1.79175946922805,8,1.09861228866811,1.38629436111989,1939,2,1,205,5,5,0,1.6094379124341,0,0,0,0,0,4,0,1,7.60539236481493,0,0,0,1,42.03359,-93.627552,11.7304613225187,4.07753744390572,4.69134788222914,0.693147180559945,0.693147180559945,0.693147180559945,0,0,1,1,1,1,1,1,6,0.693147180559945,4,0,1,0,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0,0.693147180559945,0,1,0.693147180559945,0,0,1,1,0.693147180559945,0,0.693147180559945,1,1,0,1.38629436111989,0,2,2,3,0.693147180559945,9.17107965802288,6.98286275146894,5,3,2,5,3,2,0.25,0,193.9,19.39,0,195,19.5,0,10.0898841284832,1,2.484906649788,58,0,0,4.27666611901606,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.693147180559945,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.693147180559945,0,1,0,0,0,1,0,0,0,0,0,0,0.693147180559945,0,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,1,0,0,0,0,11.6784483779882
